country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.511,0.474,0.314,0.213,0.16,0.148,0.142,0.138,0.135,0.129,0.173,0.176,0.111,0.0902,0.0976,0.0844,0.0797,0.113,0.102,0.102,0.105,0.0885,0.083,0.0792,0.0778,0.0775,0.0707,0.0723,0.0721,0.0717
Albania,0.000554,0.00108,0.00134,0.00148,0.0016,0.00186,0.00187,0.00174,0.00172,0.00201,0.00217,0.00244,0.00344,0.00333,0.00337,0.00412,0.0046,0.00506,0.005,0.00528,0.00501,0.00463,0.00431,0.00348,0.00351,0.0036,0.00383,0.00422,0.00469,0.00522
Algeria,0.0000007,0.0000021,0.0000026,0.0000031,0.000735,0.0000529,0.0000768,0.000115,0.00019,0.000233,0.000259,0.000268,0.00038,0.000362,0.000327,0.000363,0.000248,0.000311,0.000261,0.000232,0.000186,0.000167,0.000152,0.000096,0.0000905,0.0000878,0.0000919,0.0000964,0.0000995,0.000106
Andorra,0,0,0,0,0.0000319,0.0000313,0.0000466,0.0000155,0.0000312,0.0000466,0.0000306,0.0000148,0.000143,0.000137,0.0000393,0.000114,0.000123,0.000109,0.0000715,0.000071,0.000071,0.0000716,0.0000849,0.0000619,0.0000884,0.0000641,0.0000259,0,0.000039,0.0000389
Angola,0.0344,0.0312,0.0237,0.0248,0.0209,0.0177,0.0173,0.018,0.0208,0.0223,0.0265,0.0278,0.0249,0.0182,0.0122,0.0111,0.0102,0.0089,0.0079,0.00626,0.00577,0.00531,0.000767,0.000395,0.000352,0.000426,0.000291,0.000277,0.000268,0.000257
Antigua and Barbuda,0,0,0,0,0,0,0,0.0000139,0.0000273,0.0000268,0.0000132,0.0000518,0.0000639,0.000063,0.000162,0.00016,0.00023,0.000297,0.000305,0.000323,0.000341,0.000358,0.000498,0.000536,0.000573,0.000599,0.000878,0.000985,0.00111,0.00123
Argentina,0.0000102,0.000006,0.0000034,0.0000029,0.0000136,0.0000095,0.0000062,0.0000045,0.0000039,0.0000161,0.0000165,0.0000177,0.0000205,0.0000206,0.0000207,0.000022,0.0000228,0.0000295,0.0000261,0.000015,0.0000136,0.0000125,0.0000107,0.0000092,0.0000075,0.0000045,0.0000029,0.0000025,0.0000026,0.0000024
Armenia,0.0000003,0.0000003,0.0566,0.0595,0.0615,0.0626,0.0641,0.065,0.0621,0.0626,0.00188,0.00236,0.00437,0.00436,0.00447,0.00468,0.00504,0.00526,0.00562,0.00623,0.0061,0.00573,0.00552,0.00414,0.00407,0.00383,0.00365,0.00366,0.00374,0.00371
Australia,0,0,0,0,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000002,0.0000002,0.0000001,0.0000005,0.0000008,0.0000007,0.0000022,0.0000014,0.000003,0.000002,0.0000013,0.0000017,0.0000017,0.0000021,0.0000012,0.0000011,0.0000008,0.0000006,0,0.0000005,0.0000007
Austria,0,0,0,0,0.0000075,0.0000061,0.0000065,0.0000068,0.0000075,0.000006,0.0000043,0.0000036,0.0000089,0.0000081,0.0000057,0.000008,0.0000041,0.0000028,0.0000017,0.0000014,0.0000012,0.0000013,0.0000014,0.0000012,0.0000012,0.0000005,0.0000007,0,0.0000026,0.0000022
Azerbaijan,0,0,0.0402,0.0433,0.0389,0.0258,0.0301,0.0296,0.0413,0.0386,0.035,0.0328,0.0314,0.0303,0.0297,0.0274,0.0146,0.00182,0.00185,0.0019,0.00185,0.00177,0.00168,0.00115,0.00111,0.00101,0.00104,0.0011,0.00113,0.00116
Bahamas,0,0,0,0,0,0,0,0,0.0000034,0.0000034,0.0000034,0,0.0000033,0.0000032,0.0000031,0.0000031,0.0000423,0.0000415,0.0000436,0.0000429,0.0000479,0.000515,0.000539,0.000572,0.00058,0.000575,0.000791,0.000977,0.00108,0.00128
Bahrain,0.0000786,0.000102,0.000101,0.000112,0.000137,0.000126,0.000109,0.000138,0.000158,0.000203,0.000143,0.0000659,0.000068,0.0000668,0.0000627,0.0000461,0.0000647,0.0000705,0.0000718,0.0000667,0.0000701,0.000168,0.000228,0.000209,0.00026,0.000307,0.000324,0.000326,0.000346,0.000341
Bangladesh,0.0000046,0.0000058,0.000499,0.000518,0.000498,0.000495,0.000493,0.000369,0.000038,0.0000357,0.0000423,0.0000426,0.0000438,0.0000413,0.0000418,0.0000525,0.0000554,0.0000718,0.00007,0.0000715,0.0000681,0.0000674,0.0000673,0.0000637,0.0000704,0.0000779,0.0000877,0.000105,0.00013,0.00014
Barbados,0,0,0,0,0.0000151,0.0000113,0.0000075,0.0000112,0.0000186,0.0000148,0.0000295,0.0000257,0.0000329,0.0000401,0.0000254,0.000029,0.0000973,0.000136,0.000121,0.000103,0.000113,0.000159,0.000194,0.000236,0.000302,0.000347,0.000518,0.000583,0.000747,0.000857
Belarus,0,0,0,0.0000002,0.0000037,0.0000083,0.0000499,0.0000303,0.0000291,0.000152,0.000255,0.000377,0.000653,0.000807,0.000857,0.000926,0.000985,0.000524,0.00057,0.000586,0.00061,0.000629,0.000657,0.000467,0.000456,0.000437,0.000406,0.000385,0.000374,0.000363
Belgium,0,0,0,0,0.0000002,0.0000003,0.0000005,0.000001,0.0000014,0.0000016,0.0000018,0.0000013,0.0000026,0.0000038,0.0000043,0.000009,0.000006,0.0000056,0.0000057,0.0000065,0.0000076,0.0000082,0.0000084,0.000007,0.0000067,0.0000058,0.000004,0.0000046,0.0000047,0.0000032
Belize,0,0,0,0,0.0000397,0.0000387,0.000014,0,0,0.000046,0.0000485,0,0.0000038,0.0000371,0.0000325,0.0000282,0.0000618,0.0000569,0.0000652,0.000054,0.0000713,0.0000969,0.000115,0.000116,0.000127,0.000141,0.000155,0.000157,0.00018,0.000187
Benin,0.0000004,0.0000008,0.0000008,0.0000123,0.0000135,0.0000091,0.0000075,0.0000073,0.0000087,0.0000078,0.0000079,0.0000078,0.0000318,0.0000375,0.0000399,0.0000515,0.0000262,0.0000321,0.0000366,0.0000459,0.000048,0.0000487,0.000047,0.0000302,0.0000331,0.000039,0.000045,0.0000498,0.0000579,0.0000612
Bhutan,0,0.0178,0.141,0.16,0.194,0.196,0.197,0.197,0.187,0.186,0.184,0.184,0.183,0.166,0.165,0.164,0.164,0.166,0.156,0.131,0.11,0.0836,0.0593,0.0444,0.0329,0.0243,0.016,0.0106,0.00942,0.00916
Bolivia,0.000106,0.0000096,0.0000039,0.0000056,0.0000237,0.0000236,0.0000228,0.0000203,0.0000226,0.0000211,0.0000208,0.0000182,0.000025,0.0000296,0.0000314,0.0000291,0.0000398,0.0000448,0.0000467,0.000058,0.0000587,0.0000598,0.0000596,0.000057,0.000056,0.0000525,0.0000487,0.0000451,0.0000449,0.0000453
Bosnia and Herzegovina,0,0,0.103,0.152,0.197,0.201,0.264,0.227,0.171,0.16,0.135,0.119,0.108,0.0797,0.0608,0.0292,0.0531,0.0208,0.0198,0.0187,0.017,0.016,0.0144,0.00756,0.00629,0.00547,0.00537,0.00527,0.0051,0.00502
Botswana,0.0000023,0.0000023,0.0000022,0.0000029,0.0000146,0.000017,0.0000153,0.000011,0.0000102,0.0000062,0.0000018,0.0000012,0.0000029,0.0000029,0.0000034,0.0000022,0.0000065,0.0000085,0.0000136,0.0000154,0.0000267,0.0000422,0.0000623,0.0000815,0.000114,0.000145,0.000126,0.000126,0.00013,0.000101
Brazil,0.0000001,0.0000001,0.0000001,0.0000001,0.0000003,0.0000003,0.0000005,0.0000006,0.0000008,0.0000011,0.0000013,0.0000014,0.0000025,0.0000021,0.0000022,0.000002,0.0000038,0.0000085,0.0000073,0.000005,0.0000051,0.0000053,0.0000054,0.0000049,0.0000048,0.0000044,0.0000039,0.000004,0.000005,0.0000066
Brunei,0,0,0,0,0,0.0000101,0,0,0,0,0,0,0.0000058,0.0000028,0.0000028,0.000134,0.0000054,0.0000053,0.0000026,0.0000026,0.0000026,0.0000025,0.0000025,0.0000025,0.0000024,0,0.0000024,0,0.000007,0.0000115
Bulgaria,0.000217,0.000312,0.000344,0.000368,0.000553,0.000496,0.000391,0.000371,0.000384,0.000329,0.000301,0.000267,0.000361,0.000329,0.000286,0.000553,0.00045,0.000437,0.000404,0.000367,0.000345,0.000315,0.000293,0.000258,0.000227,0.000176,0.000113,0.000101,0.0000889,0.000081
Burkina Faso,0.0000002,0.0000009,0.0000066,0.0000066,0.0000068,0.0000062,0.0000069,0.0000111,0.0000094,0.0000094,0.0000112,0.0000082,0.0000796,0.0000674,0.0000447,0.0000452,0.0000272,0.0000392,0.0000494,0.0000654,0.0000734,0.000079,0.0000881,0.0000928,0.000106,0.000119,0.000126,0.00014,0.00058,0.000578
Burundi,0.0352,0.0402,0.0324,0.15,0.0661,0.0586,0.0707,0.0848,0.0812,0.0842,0.0891,0.0849,0.0857,0.0769,0.0681,0.0596,0.0521,0.0478,0.0347,0.0112,0.00969,0.0113,0.00793,0.00761,0.00736,0.0288,0.0389,0.0406,0.0347,0.0331
Cambodia,0.00606,0.00465,0.003,0.000978,0.000828,0.00575,0.00567,0.00914,0.0066,0.00322,0.00303,0.0028,0.00265,0.00244,0.00139,0.00134,0.00133,0.00129,0.00124,0.00121,0.00114,0.00105,0.000949,0.000915,0.000856,0.000825,0.000788,0.000763,0.000747,0.000727
Cameroon,0.0000085,0.0000001,0.0000066,0.0000134,0.000018,0.000148,0.000151,0.000157,0.0000916,0.000109,0.000133,0.000171,0.000319,0.000369,0.000442,0.000513,0.00057,0.000614,0.00072,0.000746,0.000736,0.000725,0.000623,0.000518,0.000475,0.000454,0.000434,0.000447,0.00179,0.00256
